:ID,company_name,code,:LABEL
538,老板电器,002508.SZ,company
539,闽发铝业,002578.SZ,company
540,万东医疗,600055.SH,company
541,万集科技,300552.SZ,company
542,模塑科技,000700.SZ,company
543,英科再生,688087.SH,company
544,金浦钛业,000545.SZ,company
545,苏农银行,603323.SH,company
546,科沃斯,603486.SH,company
547,玲珑轮胎,601966.SH,company
548,汇纳科技,300609.SZ,company
549,兆驰股份,002429.SZ,company
550,恒誉环保,688309.SH,company
551,宝兰德,688058.SH,company
552,鸿路钢构,002541.SZ,company
553,柏堡龙,002776.SZ,company
554,中国神华,601088.SH,company
555,长海股份,300196.SZ,company
556,国药一致,000028.SZ,company
557,新赛股份,600540.SH,company
558,理工环科,002322.SZ,company
559,宏源证券,000562.SZ,company
560,民生银行,600016.SH,company
561,中国银行,601988.SH,company
562,元力股份,300174.SZ,company
563,文山电力,600995.SH,company
564,金轮股份,002722.SZ,company
565,长江电力,600900.SH,company
566,绿色动力,601330.SH,company
567,有研新材,600206.SH,company
568,万达信息,300168.SZ,company
569,晨曦航空,300581.SZ,company
570,华侨城A,000069.SZ,company
571,奥拓电子,002587.SZ,company
572,莎普爱思,603168.SH,company
573,永安林业,000663.SZ,company
574,迦南科技,300412.SZ,company
575,深水规院,301038.SZ,company
576,合诚股份,603909.SH,company
577,怡合达,301029.SZ,company
578,露笑科技,002617.SZ,company
579,巴安水务,300262.SZ,company
580,蓝晓科技,300487.SZ,company
581,金辰股份,603396.SH,company
582,中金岭南,000060.SZ,company
583,华鲁恒升,600426.SH,company
584,吉林森工,600189.SH,company
585,华塑控股,000509.SZ,company
586,张家港行,002839.SZ,company
587,众和退,002070.SZ,company
588,弘信电子,300657.SZ,company
589,松芝股份,002454.SZ,company
590,科信技术,300565.SZ,company
591,华钰矿业,601020.SH,company
592,好当家,600467.SH,company
593,航天动力,600343.SH,company
594,三峡能源,600905.SH,company
595,中钢天源,002057.SZ,company
596,济川药业,600566.SH,company
597,中海达,300177.SZ,company
598,美迪西,688202.SH,company
599,高澜股份,300499.SZ,company
600,宜华健康,000150.SZ,company
601,鞍钢股份,000898.SZ,company
602,*ST鹏起,600614.SH,company
603,天桥起重,002523.SZ,company
604,中原环保,000544.SZ,company
605,浙矿股份,300837.SZ,company
606,南京银行,601009.SH,company
607,华闻传媒,000793.SZ,company
608,仙坛股份,002746.SZ,company
609,高铁电气,688285.SH,company
610,道通科技,688208.SH,company
611,有方科技,688159.SH,company
612,ST云维,600725.SH,company
613,筑博设计,300564.SZ,company
614,丰乐种业,000713.SZ,company
615,智飞生物,300122.SZ,company
616,方正证券,601901.SH,company
617,振芯科技,300101.SZ,company
618,黑芝麻,000716.SZ,company
619,海伦钢琴,300329.SZ,company
620,深南电路,002916.SZ,company
621,恒力石化,600346.SH,company
622,嘉诚国际,603535.SH,company
623,沃特股份,002886.SZ,company
624,春秋航空,601021.SH,company
625,金隅集团,601992.SH,company
626,龙净环保,600388.SH,company
627,悦康药业,688658.SH,company
628,新潮能源,600777.SH,company
629,安记食品,603696.SH,company
630,招商证券,600999.SH,company
631,天邑股份,300504.SZ,company
632,海航科技,600751.SH,company
633,金发拉比,002762.SZ,company
634,再升科技,603601.SH,company
635,安图生物,603658.SH,company
636,瑞特股份,300600.SZ,company
637,国立科技,300716.SZ,company
638,*ST欧浦,002711.SZ,company
639,滨江集团,002244.SZ,company
640,豪尔赛,002963.SZ,company
641,三角防务,300775.SZ,company
642,国联水产,300094.SZ,company
643,安靠智电,300617.SZ,company
644,龙建股份,600853.SH,company
645,三旺通信,688618.SH,company
646,氯碱化工,600618.SH,company
647,华通热力,002893.SZ,company
648,显盈科技,301067.SZ,company
649,光大银行,601818.SH,company
650,爱乐达,300696.SZ,company
651,荣盛石化,002493.SZ,company
652,迪马股份,600565.SH,company
653,中源家居,603709.SH,company
654,浙江永强,002489.SZ,company
655,华扬联众,603825.SH,company
656,宏达股份,600331.SH,company
657,天神娱乐,002354.SZ,company
658,昊海生科,688366.SH,company
659,海达股份,300320.SZ,company
660,宜宾纸业,600793.SH,company
661,五洲新春,603667.SH,company
662,李子园,605337.SH,company
663,惠威科技,002888.SZ,company
664,艾隆科技,688329.SH,company
665,万和电气,002543.SZ,company
666,金螳螂,002081.SZ,company
667,透景生命,300642.SZ,company
668,世联行,002285.SZ,company
669,骅威文化,002502.SZ,company
670,大金重工,002487.SZ,company
671,热景生物,688068.SH,company
672,浙能电力,600023.SH,company
673,好利来,002729.SZ,company
674,诚邦股份,603316.SH,company
675,爱朋医疗,300753.SZ,company
676,怡亚通,002183.SZ,company
677,国际医学,000516.SZ,company
678,科华恒盛,002335.SZ,company
679,冰轮环境,000811.SZ,company
680,岳阳林纸,600963.SH,company
681,华东数控,002248.SZ,company
682,田中精机,300461.SZ,company
683,*ST天马,002122.SZ,company
684,仙琚制药,002332.SZ,company
685,顾地科技,002694.SZ,company
686,卫光生物,002880.SZ,company
687,博威合金,601137.SH,company
688,金运激光,300220.SZ,company
689,惠而浦,600983.SH,company
690,美好置业,000667.SZ,company
691,一鸣食品,605179.SH,company
692,圆通速递,600233.SH,company
693,ST国重装,601399.SH,company
694,外高桥,600648.SH,company
695,江西铜业,600362.SH,company
696,利德曼,300289.SZ,company
697,中信出版,300788.SZ,company
698,科德数控,688305.SH,company
699,新华联,000620.SZ,company
700,陆家嘴,600663.SH,company
701,金牛化工,600722.SH,company
702,永太科技,002326.SZ,company
703,龙津药业,002750.SZ,company
704,天齐锂业,002466.SZ,company
705,和林微纳,688661.SH,company
706,华北高速,000916.SZ,company
707,中国联通,600050.SH,company
708,弘亚数控,002833.SZ,company
709,苏泊尔,002032.SZ,company
710,振江股份,603507.SH,company
711,我武生物,300357.SZ,company
712,天瑞仪器,300165.SZ,company
713,华峰测控,688200.SH,company
714,必得科技,605298.SH,company
715,祥生医疗,688358.SH,company
716,和顺石油,603353.SH,company
717,宁波富达,600724.SH,company
718,星源材质,300568.SZ,company
719,宝钢包装,601968.SH,company
720,中国黄金,600916.SH,company
721,东吴证券,601555.SH,company
722,中科创达,300496.SZ,company
723,南京公用,000421.SZ,company
724,中通客车,000957.SZ,company
725,长阳科技,688299.SH,company
726,拉芳家化,603630.SH,company
727,贝泰妮,300957.SZ,company
728,东沣B,200160.SZ,company
729,中红医疗,300981.SZ,company
730,杭钢股份,600126.SH,company
731,英科医疗,300677.SZ,company
732,复洁环保,688335.SH,company
733,新中港,605162.SH,company
734,海泰发展,600082.SH,company
735,新时达,002527.SZ,company
736,泰禾光电,603656.SH,company
737,沃施股份,300483.SZ,company
738,歌尔股份,002241.SZ,company
739,之江生物,688317.SH,company
740,博通股份,600455.SH,company
741,ST昌九,600228.SH,company
742,证通电子,002197.SZ,company
743,宁德时代,300750.SZ,company
744,悦达投资,600805.SH,company
745,巴比食品,605338.SH,company
746,华泰证券,601688.SH,company
747,鲁阳节能,002088.SZ,company
748,伯特利,603596.SH,company
749,沃格光电,603773.SH,company
750,金现代,300830.SZ,company
751,粤高速A,000429.SZ,company
752,永利股份,300230.SZ,company
753,东方日升,300118.SZ,company
754,上柴股份,600841.SH,company
755,恒基达鑫,002492.SZ,company
756,葛洲坝,600068.SH,company
757,惠城环保,300779.SZ,company
758,东晶电子,002199.SZ,company
759,吉林化纤,000420.SZ,company
760,金科文化,300459.SZ,company
761,麦捷科技,300319.SZ,company
762,大冷股份,000530.SZ,company
763,紫光学大,000526.SZ,company
764,苏州科达,603660.SH,company
765,汤臣倍健,300146.SZ,company
766,中交地产,000736.SZ,company
767,勤上股份,002638.SZ,company
768,*ST仰帆,600421.SH,company
769,金银河,300619.SZ,company
770,当虹科技,688039.SH,company
771,沃尔核材,002130.SZ,company
772,莱美药业,300006.SZ,company
773,泰坦科技,688133.SH,company
774,盛达矿业,000603.SZ,company
775,智洋创新,688191.SH,company
776,新华网,603888.SH,company
777,首航节能,002665.SZ,company
778,桐昆股份,601233.SH,company
779,春光科技,603657.SH,company
780,龙头股份,600630.SH,company
781,中国石油,601857.SH,company
782,启明信息,002232.SZ,company
783,长安汽车,000625.SZ,company
784,智动力,300686.SZ,company
785,汇顶科技,603160.SH,company
786,兆日科技,300333.SZ,company
787,恺英网络,002517.SZ,company
788,德力股份,002571.SZ,company
789,星宇股份,601799.SH,company
790,工业富联,601138.SH,company
791,集泰股份,002909.SZ,company
792,中超控股,002471.SZ,company
793,中天火箭,003009.SZ,company
794,大唐电信,600198.SH,company
795,大港股份,002077.SZ,company
796,中关村科技,000931.SZ,company
797,海马汽车,000572.SZ,company
798,泰禾集团,000732.SZ,company
799,昀冢科技,688260.SH,company
800,中油资本,000617.SZ,company
801,山西焦化,600740.SH,company
802,润阳科技,300920.SZ,company
803,光大嘉宝,600622.SH,company
804,南京港,002040.SZ,company
805,安联锐视,301042.SZ,company
806,茶花股份,603615.SH,company
807,*ST百特,002323.SZ,company
808,雷曼光电,300162.SZ,company
809,上海新阳,300236.SZ,company
810,汉得信息,300170.SZ,company
811,利扬芯片,688135.SH,company
812,光一科技,300356.SZ,company
813,泰达股份,000652.SZ,company
814,新宁物流,300013.SZ,company
815,富淼科技,688350.SH,company
816,盛通股份,002599.SZ,company
817,上海石化,600688.SH,company
818,青海华鼎,600243.SH,company
819,新湖中宝,600208.SH,company
820,西南证券,600369.SH,company
821,先河环保,300137.SZ,company
822,东音股份,002793.SZ,company
823,志邦家居,603801.SH,company
824,东方生物,688298.SH,company
825,安井食品,603345.SH,company
826,西部矿业,601168.SH,company
827,酒鬼酒,000799.SZ,company
828,中新集团,601512.SH,company
829,沪电股份,002463.SZ,company
830,共达电声,002655.SZ,company
831,雪峰科技,603227.SH,company
832,诚迈科技,300598.SZ,company
833,容大感光,300576.SZ,company
834,*ST富控,600634.SH,company
835,会稽山,601579.SH,company
836,盈趣科技,002925.SZ,company
837,*ST安凯,000868.SZ,company
838,武汉控股,600168.SH,company
839,白云山A,000522.SZ,company
840,燕京啤酒,000729.SZ,company
841,长沙银行,601577.SH,company
842,航天发展,000547.SZ,company
843,赛轮轮胎,601058.SH,company
844,康恩贝,600572.SH,company
845,青海春天,600381.SH,company
